,DISTRICT,SERVICE,SERVICEX,CTE_STUDENTS_2015,CTE_HOURS_2015,CTE_AVG_2015,ALL_STUDENTS_2015,ALL_HOURS_2015,ALL_AVG_2015,CTE_STUDENTS_2016,CTE_HOURS_2016,CTE_AVG_2016,ALL_STUDENTS_2016,ALL_HOURS_2016,ALL_AVG_2016,CTE_STUDENTS_2017,CTE_HOURS_2017,CTE_AVG_2017,ALL_STUDENTS_2017,ALL_HOURS_2017,ALL_AVG_2017,CTE_STUDENTS_2018,CTE_HOURS_2018,CTE_AVG_2018,ALL_STUDENTS_2018,ALL_HOURS_2018,ALL_AVG_2018
0,1902,3101100,PRECALCULUS (PRE CALC),9.0,36.0,4.0,18.0,54.0,3.0,9.0,27.0,3.0,9.0,27.0,3.0,13.0,75.0,5.8,13.0,75.0,5.8,15.0,45.0,3.0,15.0,45.0,3.0
1,1902,3220300,ENGLISH III (ENG 3),12.0,48.0,4.0,12.0,48.0,4.0,18.0,54.0,3.0,11.0,66.0,6.0,14.0,84.0,6.0,15.0,87.0,5.8,15.0,90.0,6.0,17.0,102.0,6.0
2,1902,3220400,ENGLISH IV (ENG 4),10.0,57.0,5.7,14.0,81.0,5.8,7.0,21.0,3.0,6.0,24.0,4.0,15.0,84.0,5.6,15.0,84.0,5.6,15.0,81.0,5.4,15.0,81.0,5.4
3,1902,3310300,ECONOMICS W/EMPH FREE ENTERPR,3.0,3.0,3.0,3.0,3.0,3.0,10.0,30.0,3.0,12.0,36.0,3.0,12.0,36.0,3.0,12.0,36.0,3.0,6.0,18.0,3.0,6.0,18.0,3.0
4,1902,3330100,UNITED STATES GOVERNMENT (GOVT,3.0,3.0,3.0,3.0,3.0,3.0,12.0,36.0,3.0,13.0,39.0,3.0,14.0,42.0,3.0,15.0,45.0,3.0,6.0,18.0,3.0,6.0,18.0,3.0
5,1902,3340100,US HISTORY STUDIES SINCE 1877,9.0,36.0,4.0,9.0,36.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,15.0,90.0,6.0,16.0,96.0,6.0,19.0,111.0,5.8,21.0,123.0,5.9
6,1902,13009900,PROFESSIONAL COMMUNICATIONS,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0
7,1904,3220300,ENGLISH III (ENG 3),10.0,30.0,3.0,12.0,72.0,6.0,15.0,45.0,3.0,15.0,45.0,3.0,14.0,81.0,5.8,16.0,93.0,5.8,24.0,111.0,4.6,25.0,117.0,4.7
8,1904,3220400,ENGLISH IV (ENG 4),11.0,33.0,3.0,11.0,33.0,3.0,15.0,84.0,5.6,15.0,84.0,5.6,13.0,63.0,4.8,13.0,63.0,4.8,19.0,72.0,3.8,19.0,72.0,3.8
9,1904,3241400,COMMUNICATION APPLICATIONS,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0
10,1904,3310300,ECONOMICS W/EMPH FREE ENTERPR,3.0,3.0,3.0,3.0,3.0,3.0,3.0,12.0,4.0,3.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,15.0,3.0,5.0,15.0,3.0
11,1904,3330100,UNITED STATES GOVERNMENT (GOVT,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.5,4.5,4.5,10.0,36.0,3.6,12.0,42.0,3.5
12,1904,3340100,US HISTORY STUDIES SINCE 1877,3.0,3.0,3.0,6.0,24.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,7.0,21.0,3.0,7.0,21.0,3.0,3.0,12.0,4.0,3.0,12.0,4.0
13,1904,3350100,PSYCHOLOGY (PSYCH),3.0,12.0,4.0,11.0,33.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
14,1904,13014300,HUMAN GROWTH & DEVELOP,14.0,42.0,3.0,14.0,42.0,3.0,26.0,78.0,3.0,27.0,81.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,33.0,3.0,11.0,33.0,3.0
15,1904,13020400,HEALTH SCIENCE,7.0,14.0,2.0,7.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,1906,3101100,PRECALCULUS (PRE CALC),3.0,3.0,3.0,3.0,3.0,3.0,4.5,4.5,4.5,4.5,4.5,4.5,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
17,1906,3102500,INDEP STUDY IN MATH (1ST TIME),3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,1906,3220300,ENGLISH III (ENG 3),6.0,24.0,4.0,10.0,30.0,3.0,9.0,27.0,3.0,15.0,45.0,3.0,6.0,18.0,3.0,6.0,18.0,3.0,11.0,57.0,5.2,11.0,57.0,5.2
19,1906,3220400,ENGLISH IV (ENG 4),6.0,18.0,3.0,6.0,18.0,3.0,12.0,48.0,4.0,12.0,48.0,4.0,11.0,60.0,5.5,11.0,60.0,5.5,15.0,45.0,3.0,15.0,45.0,3.0
20,1906,3221500,LITERARY GENRES (LIT GENR),3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,1906,3241400,COMMUNICATION APPLICATIONS,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,15.0,3.0,5.0,15.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
22,1906,3330100,UNITED STATES GOVERNMENT (GOVT,3.0,12.0,4.0,5.0,15.0,3.0,11.0,33.0,3.0,9.0,36.0,4.0,3.0,12.0,4.0,6.0,18.0,3.0,7.0,21.0,3.0,7.0,21.0,3.0
